"filename", "language", "JavaScript", "HTML", "JSON", "TypeScript JSX", "XML", "TypeScript", "CSS", "JSON with Comments", "Properties", "Markdown", "comment", "blank", "total"
"/Users/david/Desktop/rainbow-auto/src/pages/LandingPage.tsx", "TypeScript JSX", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 8, 99
"/Users/david/Desktop/rainbow-auto/src/types/driverOneType.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"/Users/david/Desktop/rainbow-auto/src/types/driverTwoTypes.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"/Users/david/Desktop/rainbow-auto/src/types/formData.ts", "TypeScript", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 10, 105
"/Users/david/Desktop/rainbow-auto/src/types/personalInfoType.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"/Users/david/Desktop/rainbow-auto/src/types/vehicleOneType.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"/Users/david/Desktop/rainbow-auto/src/types/vehicleTwoType.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"/Users/david/Desktop/rainbow-auto/src/utils/formatPhone.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 6, 6, 38
"/Users/david/Desktop/rainbow-auto/src/utils/mode-toggle.tsx", "TypeScript JSX", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 4, 38
"/Users/david/Desktop/rainbow-auto/src/utils/supabase.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"/Users/david/Desktop/rainbow-auto/src/utils/theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 17, 74
"/Users/david/Desktop/rainbow-auto/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/david/Desktop/rainbow-auto/tailwind.config.js", "JavaScript", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 115
"/Users/david/Desktop/rainbow-auto/tsconfig.app.json", "JSON", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 4, 30
"/Users/david/Desktop/rainbow-auto/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"/Users/david/Desktop/rainbow-auto/tsconfig.node.json", "JSON", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 3, 23
"/Users/david/Desktop/rainbow-auto/vercel.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/david/Desktop/rainbow-auto/vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"Total", "-", 145, 13, 18785, 6781, 2, 1348, 66, 13, 3, 46, 86, 653, 27941
